 [2026-02-02 14:42:11] iteration        2/   20000 | consumed samples:           16 | elapsed time per iteration (ms): 335566.6 | throughput per GPU (TFLOP/s/GPU): 29.8 | learning rate: 8.333333E-08 | global batch size:     8 | lm loss: 1.188156E+01 | loss scale: 1.0 | grad norm: 85.695 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 15:58:27] iteration       15/   20000 | consumed samples:          120 | elapsed time per iteration (ms): 401749.5 | throughput per GPU (TFLOP/s/GPU): 24.9 | learning rate: 6.250000E-07 | global batch size:     8 | lm loss: 1.071072E+01 | loss scale: 1.0 | grad norm: 39.984 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 16:04:03] iteration       16/   20000 | consumed samples:          128 | elapsed time per iteration (ms): 335156.8 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 6.666667E-07 | global batch size:     8 | lm loss: 1.041817E+01 | loss scale: 1.0 | grad norm: 31.553 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 16:09:38] iteration       17/   20000 | consumed samples:          136 | elapsed time per iteration (ms): 334903.9 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 7.083333E-07 | global batch size:     8 | lm loss: 1.032469E+01 | loss scale: 1.0 | grad norm: 29.317 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 16:15:13] iteration       18/   20000 | consumed samples:          144 | elapsed time per iteration (ms): 335458.0 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 7.500000E-07 | global batch size:     8 | lm loss: 1.022467E+01 | loss scale: 1.0 | grad norm: 26.131 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 16:20:48] iteration       19/   20000 | consumed samples:          152 | elapsed time per iteration (ms): 335120.2 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 7.916667E-07 | global batch size:     8 | lm loss: 1.011105E+01 | loss scale: 1.0 | grad norm: 22.548 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 16:26:23] iteration       20/   20000 | consumed samples:          160 | elapsed time per iteration (ms): 335065.2 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 8.333333E-07 | global batch size:     8 | lm loss: 1.003054E+01 | loss scale: 1.0 | grad norm: 20.925 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 16:31:59] iteration       21/   20000 | consumed samples:          168 | elapsed time per iteration (ms): 335772.7 | throughput per GPU (TFLOP/s/GPU): 29.8 | learning rate: 8.750000E-07 | global batch size:     8 | lm loss: 9.937952E+00 | loss scale: 1.0 | grad norm: 19.424 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 16:37:34] iteration       22/   20000 | consumed samples:          176 | elapsed time per iteration (ms): 335049.0 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 9.166667E-07 | global batch size:     8 | lm loss: 9.852669E+00 | loss scale: 1.0 | grad norm: 18.605 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 16:43:09] iteration       23/   20000 | consumed samples:          184 | elapsed time per iteration (ms): 335015.5 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 9.583333E-07 | global batch size:     8 | lm loss: 9.771347E+00 | loss scale: 1.0 | grad norm: 17.649 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 16:48:44] iteration       24/   20000 | consumed samples:          192 | elapsed time per iteration (ms): 335121.3 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 1.000000E-06 | global batch size:     8 | lm loss: 9.687096E+00 | loss scale: 1.0 | grad norm: 18.175 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 16:54:19] iteration       25/   20000 | consumed samples:          200 | elapsed time per iteration (ms): 335139.2 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 1.041667E-06 | global batch size:     8 | lm loss: 9.618321E+00 | loss scale: 1.0 | grad norm: 16.157 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 16:59:54] iteration       26/   20000 | consumed samples:          208 | elapsed time per iteration (ms): 335149.5 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 1.083333E-06 | global batch size:     8 | lm loss: 9.545004E+00 | loss scale: 1.0 | grad norm: 16.584 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 17:05:30] iteration       27/   20000 | consumed samples:          216 | elapsed time per iteration (ms): 335397.1 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 1.125000E-06 | global batch size:     8 | lm loss: 9.446097E+00 | loss scale: 1.0 | grad norm: 15.460 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 17:11:05] iteration       28/   20000 | consumed samples:          224 | elapsed time per iteration (ms): 335319.1 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 1.166667E-06 | global batch size:     8 | lm loss: 9.359908E+00 | loss scale: 1.0 | grad norm: 14.934 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 17:16:40] iteration       29/   20000 | consumed samples:          232 | elapsed time per iteration (ms): 335239.8 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 1.208333E-06 | global batch size:     8 | lm loss: 9.290336E+00 | loss scale: 1.0 | grad norm: 14.314 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 17:22:16] iteration       30/   20000 | consumed samples:          240 | elapsed time per iteration (ms): 335373.1 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 1.250000E-06 | global batch size:     8 | lm loss: 9.241296E+00 | loss scale: 1.0 | grad norm: 14.373 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 17:27:51] iteration       31/   20000 | consumed samples:          248 | elapsed time per iteration (ms): 335294.2 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 1.291667E-06 | global batch size:     8 | lm loss: 9.167494E+00 | loss scale: 1.0 | grad norm: 13.318 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 17:33:27] iteration       32/   20000 | consumed samples:          256 | elapsed time per iteration (ms): 336222.6 | throughput per GPU (TFLOP/s/GPU): 29.8 | learning rate: 1.333333E-06 | global batch size:     8 | lm loss: 9.094230E+00 | loss scale: 1.0 | grad norm: 15.461 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 17:39:03] iteration       33/   20000 | consumed samples:          264 | elapsed time per iteration (ms): 335504.2 | throughput per GPU (TFLOP/s/GPU): 29.8 | learning rate: 1.375000E-06 | global batch size:     8 | lm loss: 8.995030E+00 | loss scale: 1.0 | grad norm: 13.661 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 17:44:38] iteration       34/   20000 | consumed samples:          272 | elapsed time per iteration (ms): 335693.7 | throughput per GPU (TFLOP/s/GPU): 29.8 | learning rate: 1.416667E-06 | global batch size:     8 | lm loss: 8.947251E+00 | loss scale: 1.0 | grad norm: 14.390 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 17:50:14] iteration       35/   20000 | consumed samples:          280 | elapsed time per iteration (ms): 335379.9 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 1.458333E-06 | global batch size:     8 | lm loss: 8.864241E+00 | loss scale: 1.0 | grad norm: 15.825 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 17:55:49] iteration       36/   20000 | consumed samples:          288 | elapsed time per iteration (ms): 335255.3 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 1.500000E-06 | global batch size:     8 | lm loss: 8.767197E+00 | loss scale: 1.0 | grad norm: 17.107 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 18:01:24] iteration       37/   20000 | consumed samples:          296 | elapsed time per iteration (ms): 335318.6 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 1.541667E-06 | global batch size:     8 | lm loss: 8.720346E+00 | loss scale: 1.0 | grad norm: 18.806 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 18:08:12] iteration       38/   20000 | consumed samples:          304 | elapsed time per iteration (ms): 407148.4 | throughput per GPU (TFLOP/s/GPU): 24.6 | learning rate: 1.583333E-06 | global batch size:     8 | lm loss: 8.648852E+00 | loss scale: 1.0 | grad norm: 18.824 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 18:14:52] iteration       39/   20000 | consumed samples:          312 | elapsed time per iteration (ms): 400066.4 | throughput per GPU (TFLOP/s/GPU): 25.0 | learning rate: 1.625000E-06 | global batch size:     8 | lm loss: 8.572197E+00 | loss scale: 1.0 | grad norm: 16.677 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 18:20:27] iteration       40/   20000 | consumed samples:          320 | elapsed time per iteration (ms): 335229.8 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 1.666667E-06 | global batch size:     8 | lm loss: 8.473208E+00 | loss scale: 1.0 | grad norm: 16.151 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 18:26:02] iteration       41/   20000 | consumed samples:          328 | elapsed time per iteration (ms): 335305.4 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 1.708333E-06 | global batch size:     8 | lm loss: 8.458828E+00 | loss scale: 1.0 | grad norm: 17.518 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 18:31:37] iteration       42/   20000 | consumed samples:          336 | elapsed time per iteration (ms): 335340.9 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 1.750000E-06 | global batch size:     8 | lm loss: 8.364670E+00 | loss scale: 1.0 | grad norm: 16.685 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 18:37:13] iteration       43/   20000 | consumed samples:          344 | elapsed time per iteration (ms): 335119.7 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 1.791667E-06 | global batch size:     8 | lm loss: 8.366885E+00 | loss scale: 1.0 | grad norm: 16.466 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 18:42:48] iteration       44/   20000 | consumed samples:          352 | elapsed time per iteration (ms): 335696.6 | throughput per GPU (TFLOP/s/GPU): 29.8 | learning rate: 1.833333E-06 | global batch size:     8 | lm loss: 8.303930E+00 | loss scale: 1.0 | grad norm: 17.358 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 18:48:23] iteration       45/   20000 | consumed samples:          360 | elapsed time per iteration (ms): 335159.3 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 1.875000E-06 | global batch size:     8 | lm loss: 8.194059E+00 | loss scale: 1.0 | grad norm: 23.779 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 18:53:59] iteration       46/   20000 | consumed samples:          368 | elapsed time per iteration (ms): 335081.3 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 1.916667E-06 | global batch size:     8 | lm loss: 8.182718E+00 | loss scale: 1.0 | grad norm: 27.187 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 18:59:34] iteration       47/   20000 | consumed samples:          376 | elapsed time per iteration (ms): 335253.4 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 1.958333E-06 | global batch size:     8 | lm loss: 8.080404E+00 | loss scale: 1.0 | grad norm: 17.584 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 19:05:09] iteration       48/   20000 | consumed samples:          384 | elapsed time per iteration (ms): 335152.3 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 2.000000E-06 | global batch size:     8 | lm loss: 8.096828E+00 | loss scale: 1.0 | grad norm: 25.013 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 19:10:44] iteration       49/   20000 | consumed samples:          392 | elapsed time per iteration (ms): 335221.8 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 2.041667E-06 | global batch size:     8 | lm loss: 8.081933E+00 | loss scale: 1.0 | grad norm: 35.456 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 19:16:20] iteration       50/   20000 | consumed samples:          400 | elapsed time per iteration (ms): 335771.3 | throughput per GPU (TFLOP/s/GPU): 29.8 | learning rate: 2.083333E-06 | global batch size:     8 | lm loss: 7.967840E+00 | loss scale: 1.0 | grad norm: 18.558 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 19:21:55] iteration       51/   20000 | consumed samples:          408 | elapsed time per iteration (ms): 335192.2 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 2.125000E-06 | global batch size:     8 | lm loss: 7.926591E+00 | loss scale: 1.0 | grad norm: 12.793 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 19:27:30] iteration       52/   20000 | consumed samples:          416 | elapsed time per iteration (ms): 335168.9 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 2.166667E-06 | global batch size:     8 | lm loss: 7.916638E+00 | loss scale: 1.0 | grad norm: 14.283 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 19:33:06] iteration       53/   20000 | consumed samples:          424 | elapsed time per iteration (ms): 335258.6 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 2.208333E-06 | global batch size:     8 | lm loss: 7.877426E+00 | loss scale: 1.0 | grad norm: 13.525 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 19:38:41] iteration       54/   20000 | consumed samples:          432 | elapsed time per iteration (ms): 335484.1 | throughput per GPU (TFLOP/s/GPU): 29.8 | learning rate: 2.250000E-06 | global batch size:     8 | lm loss: 7.789645E+00 | loss scale: 1.0 | grad norm: 18.904 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 19:44:16] iteration       55/   20000 | consumed samples:          440 | elapsed time per iteration (ms): 335104.2 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 2.291667E-06 | global batch size:     8 | lm loss: 7.793136E+00 | loss scale: 1.0 | grad norm: 37.227 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 19:49:51] iteration       56/   20000 | consumed samples:          448 | elapsed time per iteration (ms): 335171.8 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 2.333333E-06 | global batch size:     8 | lm loss: 7.758466E+00 | loss scale: 1.0 | grad norm: 14.673 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 19:55:27] iteration       57/   20000 | consumed samples:          456 | elapsed time per iteration (ms): 335370.9 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 2.375000E-06 | global batch size:     8 | lm loss: 7.713899E+00 | loss scale: 1.0 | grad norm: 14.700 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 20:01:02] iteration       58/   20000 | consumed samples:          464 | elapsed time per iteration (ms): 335173.0 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 2.416667E-06 | global batch size:     8 | lm loss: 7.668726E+00 | loss scale: 1.0 | grad norm: 40.037 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 20:06:37] iteration       59/   20000 | consumed samples:          472 | elapsed time per iteration (ms): 335121.1 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 2.458333E-06 | global batch size:     8 | lm loss: 7.691985E+00 | loss scale: 1.0 | grad norm: 19.211 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 20:12:12] iteration       60/   20000 | consumed samples:          480 | elapsed time per iteration (ms): 335099.8 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 2.500000E-06 | global batch size:     8 | lm loss: 7.630292E+00 | loss scale: 1.0 | grad norm: 21.225 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 20:17:47] iteration       61/   20000 | consumed samples:          488 | elapsed time per iteration (ms): 335209.3 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 2.541667E-06 | global batch size:     8 | lm loss: 7.624759E+00 | loss scale: 1.0 | grad norm: 22.367 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 20:23:23] iteration       62/   20000 | consumed samples:          496 | elapsed time per iteration (ms): 335561.2 | throughput per GPU (TFLOP/s/GPU): 29.8 | learning rate: 2.583333E-06 | global batch size:     8 | lm loss: 7.548147E+00 | loss scale: 1.0 | grad norm: 16.658 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 20:28:58] iteration       63/   20000 | consumed samples:          504 | elapsed time per iteration (ms): 335226.7 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 2.625000E-06 | global batch size:     8 | lm loss: 7.534227E+00 | loss scale: 1.0 | grad norm: 17.155 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 20:34:33] iteration       64/   20000 | consumed samples:          512 | elapsed time per iteration (ms): 335187.7 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 2.666667E-06 | global batch size:     8 | lm loss: 7.528357E+00 | loss scale: 1.0 | grad norm: 19.112 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 20:40:09] iteration       65/   20000 | consumed samples:          520 | elapsed time per iteration (ms): 335225.3 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 2.708333E-06 | global batch size:     8 | lm loss: 7.469254E+00 | loss scale: 1.0 | grad norm: 15.167 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 20:45:44] iteration       66/   20000 | consumed samples:          528 | elapsed time per iteration (ms): 335217.6 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 2.750000E-06 | global batch size:     8 | lm loss: 7.429758E+00 | loss scale: 1.0 | grad norm: 15.596 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 20:51:19] iteration       67/   20000 | consumed samples:          536 | elapsed time per iteration (ms): 335144.5 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 2.791667E-06 | global batch size:     8 | lm loss: 7.427369E+00 | loss scale: 1.0 | grad norm: 28.129 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 20:56:54] iteration       68/   20000 | consumed samples:          544 | elapsed time per iteration (ms): 335353.3 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 2.833333E-06 | global batch size:     8 | lm loss: 7.427654E+00 | loss scale: 1.0 | grad norm: 24.567 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 21:02:30] iteration       69/   20000 | consumed samples:          552 | elapsed time per iteration (ms): 335354.5 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 2.875000E-06 | global batch size:     8 | lm loss: 7.365019E+00 | loss scale: 1.0 | grad norm: 16.841 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 21:08:05] iteration       70/   20000 | consumed samples:          560 | elapsed time per iteration (ms): 335275.6 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 2.916667E-06 | global batch size:     8 | lm loss: 7.320754E+00 | loss scale: 1.0 | grad norm: 21.371 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 21:13:40] iteration       71/   20000 | consumed samples:          568 | elapsed time per iteration (ms): 335198.2 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 2.958333E-06 | global batch size:     8 | lm loss: 7.294127E+00 | loss scale: 1.0 | grad norm: 13.228 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 21:19:15] iteration       72/   20000 | consumed samples:          576 | elapsed time per iteration (ms): 335311.7 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 3.000000E-06 | global batch size:     8 | lm loss: 7.312463E+00 | loss scale: 1.0 | grad norm: 19.100 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 21:24:51] iteration       73/   20000 | consumed samples:          584 | elapsed time per iteration (ms): 335330.0 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 3.041667E-06 | global batch size:     8 | lm loss: 7.288663E+00 | loss scale: 1.0 | grad norm: 24.349 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 21:30:26] iteration       74/   20000 | consumed samples:          592 | elapsed time per iteration (ms): 335097.3 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 3.083333E-06 | global batch size:     8 | lm loss: 7.220662E+00 | loss scale: 1.0 | grad norm: 15.308 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 21:36:01] iteration       75/   20000 | consumed samples:          600 | elapsed time per iteration (ms): 335327.9 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 3.125000E-06 | global batch size:     8 | lm loss: 7.184229E+00 | loss scale: 1.0 | grad norm: 15.869 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 21:41:37] iteration       76/   20000 | consumed samples:          608 | elapsed time per iteration (ms): 335408.1 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 3.166667E-06 | global batch size:     8 | lm loss: 7.213531E+00 | loss scale: 1.0 | grad norm: 14.442 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 21:47:12] iteration       77/   20000 | consumed samples:          616 | elapsed time per iteration (ms): 335199.2 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 3.208333E-06 | global batch size:     8 | lm loss: 7.211308E+00 | loss scale: 1.0 | grad norm: 21.338 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 21:52:47] iteration       78/   20000 | consumed samples:          624 | elapsed time per iteration (ms): 335349.0 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 3.250000E-06 | global batch size:     8 | lm loss: 7.138360E+00 | loss scale: 1.0 | grad norm: 17.181 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 21:58:22] iteration       79/   20000 | consumed samples:          632 | elapsed time per iteration (ms): 335384.3 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 3.291667E-06 | global batch size:     8 | lm loss: 7.101727E+00 | loss scale: 1.0 | grad norm: 18.177 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 22:03:58] iteration       80/   20000 | consumed samples:          640 | elapsed time per iteration (ms): 335288.4 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 3.333333E-06 | global batch size:     8 | lm loss: 7.103993E+00 | loss scale: 1.0 | grad norm: 16.213 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 22:09:33] iteration       81/   20000 | consumed samples:          648 | elapsed time per iteration (ms): 335367.7 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 3.375000E-06 | global batch size:     8 | lm loss: 7.089421E+00 | loss scale: 1.0 | grad norm: 15.756 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 22:15:08] iteration       82/   20000 | consumed samples:          656 | elapsed time per iteration (ms): 335281.6 | throughput per GPU (TFLOP/s/GPU): 29.9 | learning rate: 3.416667E-06 | global batch size:     8 | lm loss: 7.045398E+00 | loss scale: 1.0 | grad norm: 16.491 | number of skipped iterations:   0 | number of nan iterations:   0 |
