
 [2026-02-02 15:04:09] iteration        2/   20000 | consumed samples:           16 | elapsed time per iteration (ms): 176087.0 | throughput per GPU (TFLOP/s/GPU): 56.9 | learning rate: 8.333333E-08 | global batch size:     8 | lm loss: 1.188148E+01 | loss scale: 1.0 | grad norm: 85.848 | number of skipped iterations:   0 | number of nan iterations:   0 |
[rank0]:[W202 15:33:23.315877368 collection.cpp:1116] Warning: ROCTracer produced duplicate flow start: 728806 (function operator())
 [2026-02-02 15:36:34] iteration       13/   20000 | consumed samples:          104 | elapsed time per iteration (ms): 202250.8 | throughput per GPU (TFLOP/s/GPU): 49.5 | learning rate: 5.416667E-07 | global batch size:     8 | lm loss: 1.093034E+01 | loss scale: 1.0 | grad norm: 48.186 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 15:39:29] iteration       14/   20000 | consumed samples:          112 | elapsed time per iteration (ms): 174503.6 | throughput per GPU (TFLOP/s/GPU): 57.4 | learning rate: 5.833334E-07 | global batch size:     8 | lm loss: 1.080372E+01 | loss scale: 1.0 | grad norm: 43.852 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 15:42:25] iteration       15/   20000 | consumed samples:          120 | elapsed time per iteration (ms): 175914.2 | throughput per GPU (TFLOP/s/GPU): 56.9 | learning rate: 6.250000E-07 | global batch size:     8 | lm loss: 1.071076E+01 | loss scale: 1.0 | grad norm: 39.972 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 15:45:18] iteration       16/   20000 | consumed samples:          128 | elapsed time per iteration (ms): 172956.7 | throughput per GPU (TFLOP/s/GPU): 57.9 | learning rate: 6.666667E-07 | global batch size:     8 | lm loss: 1.041807E+01 | loss scale: 1.0 | grad norm: 31.551 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 15:48:12] iteration       17/   20000 | consumed samples:          136 | elapsed time per iteration (ms): 174286.5 | throughput per GPU (TFLOP/s/GPU): 57.5 | learning rate: 7.083333E-07 | global batch size:     8 | lm loss: 1.032478E+01 | loss scale: 1.0 | grad norm: 29.340 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 15:51:09] iteration       18/   20000 | consumed samples:          144 | elapsed time per iteration (ms): 177188.0 | throughput per GPU (TFLOP/s/GPU): 56.5 | learning rate: 7.500000E-07 | global batch size:     8 | lm loss: 1.022472E+01 | loss scale: 1.0 | grad norm: 26.127 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 15:54:05] iteration       19/   20000 | consumed samples:          152 | elapsed time per iteration (ms): 175703.2 | throughput per GPU (TFLOP/s/GPU): 57.0 | learning rate: 7.916667E-07 | global batch size:     8 | lm loss: 1.011111E+01 | loss scale: 1.0 | grad norm: 22.567 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 15:56:59] iteration       20/   20000 | consumed samples:          160 | elapsed time per iteration (ms): 173993.9 | throughput per GPU (TFLOP/s/GPU): 57.6 | learning rate: 8.333333E-07 | global batch size:     8 | lm loss: 1.003056E+01 | loss scale: 1.0 | grad norm: 20.920 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 15:59:53] iteration       21/   20000 | consumed samples:          168 | elapsed time per iteration (ms): 174339.2 | throughput per GPU (TFLOP/s/GPU): 57.4 | learning rate: 8.750000E-07 | global batch size:     8 | lm loss: 9.938151E+00 | loss scale: 1.0 | grad norm: 19.391 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 16:02:46] iteration       22/   20000 | consumed samples:          176 | elapsed time per iteration (ms): 172835.9 | throughput per GPU (TFLOP/s/GPU): 57.9 | learning rate: 9.166667E-07 | global batch size:     8 | lm loss: 9.852698E+00 | loss scale: 1.0 | grad norm: 18.608 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 16:05:40] iteration       23/   20000 | consumed samples:          184 | elapsed time per iteration (ms): 174041.1 | throughput per GPU (TFLOP/s/GPU): 57.5 | learning rate: 9.583333E-07 | global batch size:     8 | lm loss: 9.771453E+00 | loss scale: 1.0 | grad norm: 17.654 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 16:08:34] iteration       24/   20000 | consumed samples:          192 | elapsed time per iteration (ms): 173902.6 | throughput per GPU (TFLOP/s/GPU): 57.6 | learning rate: 1.000000E-06 | global batch size:     8 | lm loss: 9.687122E+00 | loss scale: 1.0 | grad norm: 18.151 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 16:11:29] iteration       25/   20000 | consumed samples:          200 | elapsed time per iteration (ms): 175104.0 | throughput per GPU (TFLOP/s/GPU): 57.2 | learning rate: 1.041667E-06 | global batch size:     8 | lm loss: 9.618312E+00 | loss scale: 1.0 | grad norm: 16.171 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 16:14:24] iteration       26/   20000 | consumed samples:          208 | elapsed time per iteration (ms): 175145.4 | throughput per GPU (TFLOP/s/GPU): 57.2 | learning rate: 1.083333E-06 | global batch size:     8 | lm loss: 9.545047E+00 | loss scale: 1.0 | grad norm: 16.523 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 16:17:20] iteration       27/   20000 | consumed samples:          216 | elapsed time per iteration (ms): 175503.0 | throughput per GPU (TFLOP/s/GPU): 57.1 | learning rate: 1.125000E-06 | global batch size:     8 | lm loss: 9.446006E+00 | loss scale: 1.0 | grad norm: 15.449 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 16:20:15] iteration       28/   20000 | consumed samples:          224 | elapsed time per iteration (ms): 175076.3 | throughput per GPU (TFLOP/s/GPU): 57.2 | learning rate: 1.166667E-06 | global batch size:     8 | lm loss: 9.359900E+00 | loss scale: 1.0 | grad norm: 14.896 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 16:23:09] iteration       29/   20000 | consumed samples:          232 | elapsed time per iteration (ms): 174583.6 | throughput per GPU (TFLOP/s/GPU): 57.4 | learning rate: 1.208333E-06 | global batch size:     8 | lm loss: 9.290213E+00 | loss scale: 1.0 | grad norm: 14.241 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 16:26:03] iteration       30/   20000 | consumed samples:          240 | elapsed time per iteration (ms): 173627.7 | throughput per GPU (TFLOP/s/GPU): 57.7 | learning rate: 1.250000E-06 | global batch size:     8 | lm loss: 9.241049E+00 | loss scale: 1.0 | grad norm: 14.277 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 16:28:57] iteration       31/   20000 | consumed samples:          248 | elapsed time per iteration (ms): 174036.6 | throughput per GPU (TFLOP/s/GPU): 57.5 | learning rate: 1.291667E-06 | global batch size:     8 | lm loss: 9.167272E+00 | loss scale: 1.0 | grad norm: 13.365 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 16:31:51] iteration       32/   20000 | consumed samples:          256 | elapsed time per iteration (ms): 173899.6 | throughput per GPU (TFLOP/s/GPU): 57.6 | learning rate: 1.333333E-06 | global batch size:     8 | lm loss: 9.093856E+00 | loss scale: 1.0 | grad norm: 15.426 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 16:34:44] iteration       33/   20000 | consumed samples:          264 | elapsed time per iteration (ms): 173406.9 | throughput per GPU (TFLOP/s/GPU): 57.7 | learning rate: 1.375000E-06 | global batch size:     8 | lm loss: 8.994747E+00 | loss scale: 1.0 | grad norm: 13.681 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 16:37:41] iteration       34/   20000 | consumed samples:          272 | elapsed time per iteration (ms): 177165.7 | throughput per GPU (TFLOP/s/GPU): 56.5 | learning rate: 1.416667E-06 | global batch size:     8 | lm loss: 8.946954E+00 | loss scale: 1.0 | grad norm: 14.330 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 16:40:35] iteration       35/   20000 | consumed samples:          280 | elapsed time per iteration (ms): 173924.5 | throughput per GPU (TFLOP/s/GPU): 57.6 | learning rate: 1.458333E-06 | global batch size:     8 | lm loss: 8.863981E+00 | loss scale: 1.0 | grad norm: 15.926 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 16:43:29] iteration       36/   20000 | consumed samples:          288 | elapsed time per iteration (ms): 174053.2 | throughput per GPU (TFLOP/s/GPU): 57.5 | learning rate: 1.500000E-06 | global batch size:     8 | lm loss: 8.766873E+00 | loss scale: 1.0 | grad norm: 16.996 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 16:46:23] iteration       37/   20000 | consumed samples:          296 | elapsed time per iteration (ms): 173805.1 | throughput per GPU (TFLOP/s/GPU): 57.6 | learning rate: 1.541667E-06 | global batch size:     8 | lm loss: 8.719896E+00 | loss scale: 1.0 | grad norm: 18.671 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 16:49:16] iteration       38/   20000 | consumed samples:          304 | elapsed time per iteration (ms): 172989.8 | throughput per GPU (TFLOP/s/GPU): 57.9 | learning rate: 1.583333E-06 | global batch size:     8 | lm loss: 8.648232E+00 | loss scale: 1.0 | grad norm: 18.714 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 16:52:10] iteration       39/   20000 | consumed samples:          312 | elapsed time per iteration (ms): 173584.4 | throughput per GPU (TFLOP/s/GPU): 57.7 | learning rate: 1.625000E-06 | global batch size:     8 | lm loss: 8.572069E+00 | loss scale: 1.0 | grad norm: 17.030 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 16:55:04] iteration       40/   20000 | consumed samples:          320 | elapsed time per iteration (ms): 174095.2 | throughput per GPU (TFLOP/s/GPU): 57.5 | learning rate: 1.666667E-06 | global batch size:     8 | lm loss: 8.472857E+00 | loss scale: 1.0 | grad norm: 16.023 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 16:57:58] iteration       41/   20000 | consumed samples:          328 | elapsed time per iteration (ms): 174178.9 | throughput per GPU (TFLOP/s/GPU): 57.5 | learning rate: 1.708333E-06 | global batch size:     8 | lm loss: 8.458444E+00 | loss scale: 1.0 | grad norm: 17.625 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 17:00:53] iteration       42/   20000 | consumed samples:          336 | elapsed time per iteration (ms): 174465.2 | throughput per GPU (TFLOP/s/GPU): 57.4 | learning rate: 1.750000E-06 | global batch size:     8 | lm loss: 8.364500E+00 | loss scale: 1.0 | grad norm: 16.853 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 17:03:46] iteration       43/   20000 | consumed samples:          344 | elapsed time per iteration (ms): 173114.5 | throughput per GPU (TFLOP/s/GPU): 57.8 | learning rate: 1.791667E-06 | global batch size:     8 | lm loss: 8.366809E+00 | loss scale: 1.0 | grad norm: 16.313 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 17:06:40] iteration       44/   20000 | consumed samples:          352 | elapsed time per iteration (ms): 174016.5 | throughput per GPU (TFLOP/s/GPU): 57.5 | learning rate: 1.833333E-06 | global batch size:     8 | lm loss: 8.303768E+00 | loss scale: 1.0 | grad norm: 16.931 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 17:09:34] iteration       45/   20000 | consumed samples:          360 | elapsed time per iteration (ms): 174062.8 | throughput per GPU (TFLOP/s/GPU): 57.5 | learning rate: 1.875000E-06 | global batch size:     8 | lm loss: 8.193429E+00 | loss scale: 1.0 | grad norm: 23.084 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 17:12:29] iteration       46/   20000 | consumed samples:          368 | elapsed time per iteration (ms): 175056.1 | throughput per GPU (TFLOP/s/GPU): 57.2 | learning rate: 1.916667E-06 | global batch size:     8 | lm loss: 8.182477E+00 | loss scale: 1.0 | grad norm: 28.138 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 17:15:23] iteration       47/   20000 | consumed samples:          376 | elapsed time per iteration (ms): 173881.4 | throughput per GPU (TFLOP/s/GPU): 57.6 | learning rate: 1.958333E-06 | global batch size:     8 | lm loss: 8.079900E+00 | loss scale: 1.0 | grad norm: 17.587 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 17:18:16] iteration       48/   20000 | consumed samples:          384 | elapsed time per iteration (ms): 173709.5 | throughput per GPU (TFLOP/s/GPU): 57.6 | learning rate: 2.000000E-06 | global batch size:     8 | lm loss: 8.095363E+00 | loss scale: 1.0 | grad norm: 23.092 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 17:21:10] iteration       49/   20000 | consumed samples:          392 | elapsed time per iteration (ms): 174054.0 | throughput per GPU (TFLOP/s/GPU): 57.5 | learning rate: 2.041667E-06 | global batch size:     8 | lm loss: 8.081667E+00 | loss scale: 1.0 | grad norm: 37.171 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 17:24:04] iteration       50/   20000 | consumed samples:          400 | elapsed time per iteration (ms): 173491.1 | throughput per GPU (TFLOP/s/GPU): 57.7 | learning rate: 2.083333E-06 | global batch size:     8 | lm loss: 7.967079E+00 | loss scale: 1.0 | grad norm: 18.540 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 17:26:57] iteration       51/   20000 | consumed samples:          408 | elapsed time per iteration (ms): 173296.8 | throughput per GPU (TFLOP/s/GPU): 57.8 | learning rate: 2.125000E-06 | global batch size:     8 | lm loss: 7.925742E+00 | loss scale: 1.0 | grad norm: 12.813 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 17:29:51] iteration       52/   20000 | consumed samples:          416 | elapsed time per iteration (ms): 174161.6 | throughput per GPU (TFLOP/s/GPU): 57.5 | learning rate: 2.166667E-06 | global batch size:     8 | lm loss: 7.917046E+00 | loss scale: 1.0 | grad norm: 18.565 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 17:32:46] iteration       53/   20000 | consumed samples:          424 | elapsed time per iteration (ms): 174351.9 | throughput per GPU (TFLOP/s/GPU): 57.4 | learning rate: 2.208333E-06 | global batch size:     8 | lm loss: 7.885663E+00 | loss scale: 1.0 | grad norm: 27.142 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 17:35:40] iteration       54/   20000 | consumed samples:          432 | elapsed time per iteration (ms): 173958.2 | throughput per GPU (TFLOP/s/GPU): 57.6 | learning rate: 2.250000E-06 | global batch size:     8 | lm loss: 7.800970E+00 | loss scale: 1.0 | grad norm: 25.851 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 17:38:34] iteration       55/   20000 | consumed samples:          440 | elapsed time per iteration (ms): 174408.9 | throughput per GPU (TFLOP/s/GPU): 57.4 | learning rate: 2.291667E-06 | global batch size:     8 | lm loss: 7.790534E+00 | loss scale: 1.0 | grad norm: 12.771 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 17:41:28] iteration       56/   20000 | consumed samples:          448 | elapsed time per iteration (ms): 174280.9 | throughput per GPU (TFLOP/s/GPU): 57.5 | learning rate: 2.333333E-06 | global batch size:     8 | lm loss: 7.762836E+00 | loss scale: 1.0 | grad norm: 15.494 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 17:44:22] iteration       57/   20000 | consumed samples:          456 | elapsed time per iteration (ms): 173909.0 | throughput per GPU (TFLOP/s/GPU): 57.6 | learning rate: 2.375000E-06 | global batch size:     8 | lm loss: 7.723354E+00 | loss scale: 1.0 | grad norm: 20.497 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 17:47:16] iteration       58/   20000 | consumed samples:          464 | elapsed time per iteration (ms): 174100.0 | throughput per GPU (TFLOP/s/GPU): 57.5 | learning rate: 2.416667E-06 | global batch size:     8 | lm loss: 7.668170E+00 | loss scale: 1.0 | grad norm: 29.196 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 17:50:10] iteration       59/   20000 | consumed samples:          472 | elapsed time per iteration (ms): 173672.9 | throughput per GPU (TFLOP/s/GPU): 57.7 | learning rate: 2.458333E-06 | global batch size:     8 | lm loss: 7.693569E+00 | loss scale: 1.0 | grad norm: 15.497 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 17:53:03] iteration       60/   20000 | consumed samples:          480 | elapsed time per iteration (ms): 172736.5 | throughput per GPU (TFLOP/s/GPU): 58.0 | learning rate: 2.500000E-06 | global batch size:     8 | lm loss: 7.627726E+00 | loss scale: 1.0 | grad norm: 14.940 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 17:55:56] iteration       61/   20000 | consumed samples:          488 | elapsed time per iteration (ms): 173354.5 | throughput per GPU (TFLOP/s/GPU): 57.8 | learning rate: 2.541667E-06 | global batch size:     8 | lm loss: 7.621806E+00 | loss scale: 1.0 | grad norm: 20.104 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 17:58:50] iteration       62/   20000 | consumed samples:          496 | elapsed time per iteration (ms): 173816.3 | throughput per GPU (TFLOP/s/GPU): 57.6 | learning rate: 2.583333E-06 | global batch size:     8 | lm loss: 7.548662E+00 | loss scale: 1.0 | grad norm: 17.876 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 18:01:44] iteration       63/   20000 | consumed samples:          504 | elapsed time per iteration (ms): 174336.4 | throughput per GPU (TFLOP/s/GPU): 57.4 | learning rate: 2.625000E-06 | global batch size:     8 | lm loss: 7.532951E+00 | loss scale: 1.0 | grad norm: 18.804 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 18:04:38] iteration       64/   20000 | consumed samples:          512 | elapsed time per iteration (ms): 173288.1 | throughput per GPU (TFLOP/s/GPU): 57.8 | learning rate: 2.666667E-06 | global batch size:     8 | lm loss: 7.530041E+00 | loss scale: 1.0 | grad norm: 23.633 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 18:07:31] iteration       65/   20000 | consumed samples:          520 | elapsed time per iteration (ms): 173457.8 | throughput per GPU (TFLOP/s/GPU): 57.7 | learning rate: 2.708333E-06 | global batch size:     8 | lm loss: 7.467052E+00 | loss scale: 1.0 | grad norm: 13.911 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 18:10:25] iteration       66/   20000 | consumed samples:          528 | elapsed time per iteration (ms): 173499.3 | throughput per GPU (TFLOP/s/GPU): 57.7 | learning rate: 2.750000E-06 | global batch size:     8 | lm loss: 7.431349E+00 | loss scale: 1.0 | grad norm: 19.966 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 18:13:18] iteration       67/   20000 | consumed samples:          536 | elapsed time per iteration (ms): 173902.7 | throughput per GPU (TFLOP/s/GPU): 57.6 | learning rate: 2.791667E-06 | global batch size:     8 | lm loss: 7.428903E+00 | loss scale: 1.0 | grad norm: 27.918 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 18:16:16] iteration       68/   20000 | consumed samples:          544 | elapsed time per iteration (ms): 177225.9 | throughput per GPU (TFLOP/s/GPU): 56.5 | learning rate: 2.833333E-06 | global batch size:     8 | lm loss: 7.423044E+00 | loss scale: 1.0 | grad norm: 19.973 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 18:19:09] iteration       69/   20000 | consumed samples:          552 | elapsed time per iteration (ms): 173714.4 | throughput per GPU (TFLOP/s/GPU): 57.6 | learning rate: 2.875000E-06 | global batch size:     8 | lm loss: 7.363156E+00 | loss scale: 1.0 | grad norm: 16.327 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 18:22:04] iteration       70/   20000 | consumed samples:          560 | elapsed time per iteration (ms): 174785.8 | throughput per GPU (TFLOP/s/GPU): 57.3 | learning rate: 2.916667E-06 | global batch size:     8 | lm loss: 7.318666E+00 | loss scale: 1.0 | grad norm: 18.300 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 18:24:59] iteration       71/   20000 | consumed samples:          568 | elapsed time per iteration (ms): 174451.7 | throughput per GPU (TFLOP/s/GPU): 57.4 | learning rate: 2.958333E-06 | global batch size:     8 | lm loss: 7.294338E+00 | loss scale: 1.0 | grad norm: 15.412 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 18:27:54] iteration       72/   20000 | consumed samples:          576 | elapsed time per iteration (ms): 175042.3 | throughput per GPU (TFLOP/s/GPU): 57.2 | learning rate: 3.000000E-06 | global batch size:     8 | lm loss: 7.308876E+00 | loss scale: 1.0 | grad norm: 17.267 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 18:30:48] iteration       73/   20000 | consumed samples:          584 | elapsed time per iteration (ms): 174328.2 | throughput per GPU (TFLOP/s/GPU): 57.4 | learning rate: 3.041667E-06 | global batch size:     8 | lm loss: 7.280959E+00 | loss scale: 1.0 | grad norm: 21.665 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 18:33:41] iteration       74/   20000 | consumed samples:          592 | elapsed time per iteration (ms): 173134.3 | throughput per GPU (TFLOP/s/GPU): 57.8 | learning rate: 3.083333E-06 | global batch size:     8 | lm loss: 7.217379E+00 | loss scale: 1.0 | grad norm: 14.972 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 18:36:36] iteration       75/   20000 | consumed samples:          600 | elapsed time per iteration (ms): 174777.3 | throughput per GPU (TFLOP/s/GPU): 57.3 | learning rate: 3.125000E-06 | global batch size:     8 | lm loss: 7.184114E+00 | loss scale: 1.0 | grad norm: 19.704 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 18:39:29] iteration       76/   20000 | consumed samples:          608 | elapsed time per iteration (ms): 173578.9 | throughput per GPU (TFLOP/s/GPU): 57.7 | learning rate: 3.166667E-06 | global batch size:     8 | lm loss: 7.210893E+00 | loss scale: 1.0 | grad norm: 15.606 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 18:42:23] iteration       77/   20000 | consumed samples:          616 | elapsed time per iteration (ms): 173769.3 | throughput per GPU (TFLOP/s/GPU): 57.6 | learning rate: 3.208333E-06 | global batch size:     8 | lm loss: 7.210839E+00 | loss scale: 1.0 | grad norm: 25.182 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 18:45:17] iteration       78/   20000 | consumed samples:          624 | elapsed time per iteration (ms): 173981.0 | throughput per GPU (TFLOP/s/GPU): 57.6 | learning rate: 3.250000E-06 | global batch size:     8 | lm loss: 7.141665E+00 | loss scale: 1.0 | grad norm: 21.218 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 18:48:11] iteration       79/   20000 | consumed samples:          632 | elapsed time per iteration (ms): 174111.2 | throughput per GPU (TFLOP/s/GPU): 57.5 | learning rate: 3.291667E-06 | global batch size:     8 | lm loss: 7.096976E+00 | loss scale: 1.0 | grad norm: 14.220 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 18:51:05] iteration       80/   20000 | consumed samples:          640 | elapsed time per iteration (ms): 173767.4 | throughput per GPU (TFLOP/s/GPU): 57.6 | learning rate: 3.333333E-06 | global batch size:     8 | lm loss: 7.103272E+00 | loss scale: 1.0 | grad norm: 20.141 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 18:54:02] iteration       81/   20000 | consumed samples:          648 | elapsed time per iteration (ms): 176749.8 | throughput per GPU (TFLOP/s/GPU): 56.7 | learning rate: 3.375000E-06 | global batch size:     8 | lm loss: 7.094019E+00 | loss scale: 1.0 | grad norm: 17.466 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-02-02 18:56:57] iteration       82/   20000 | consumed samples:          656 | elapsed time per iteration (ms): 174954.5 | throughput per GPU (TFLOP/s/GPU): 57.2 | learning rate: 3.416667E-06 | global batch size:     8 | lm loss: 7.044736E+00 | loss scale: 1.0 | grad norm: 15.705 | number of skipped iterations:   0 | number of nan iterations:   0 |
